id,action
382,мытье рук
383,водные лыжи
384,водная горка
385,полив растений
386,депиляция спины
387,депиляция груди
388,депиляция бровей
389,депиляция ног
390,плетение корзин
391,сварка
392,свист
393,виндсерфинг
394,упаковка подарков
395,борьба
396,письмо
397,зевание
398,йога
399,зумба
